State,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CONNECTICUT,  Disposable personal income,5.2,8.5,6.1,4.3,2.4,5.0,3.5,7.5,6.3,8.2,3.2,3.0,1.3,1.0,-4.7,4.2,2.4,2.9,2.2,5.2,2.7,4.3,2.5,0.7,9.3
CONNECTICUT,  Personal consumption expenditures,6.9,6.8,4.3,4.0,5.1,6.1,6.0,5.2,4.1,3.0,-2.1,2.6,2.9,2.6,2.3,3.7,2.6,1.8,3.1,3.8,1.5,-1.2,10.8,7.3,(NA)
CONNECTICUT,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.6,4.9,-0.8,-0.6,-3.9,3.2,2.0,1.1,0.9,5.3,1.5,2.1,2.4,-6.9,(NA)
CONNECTICUT,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.5,3.9,-0.9,0.7,0.7,2.8,1.9,1.0,1.7,4.6,0.4,-3.1,8.0,-2.8,(NA)
CONNECTICUT,  Per capita personal income 6,4.9,8.6,5.1,-0.8,0.5,4.9,4.9,7.7,7.3,6.0,-1.6,3.0,2.6,0.9,-2.4,4.0,2.7,2.0,2.4,4.4,2.8,4.9,4.3,2.7,4.9
CONNECTICUT,  Per capita disposable personal income 7,4.6,7.7,5.4,3.5,1.6,4.6,3.2,7.2,6.0,7.7,2.7,2.4,0.9,0.7,-4.8,4.1,2.4,3.1,2.2,5.1,2.8,5.2,1.8,0.6,9.0
CONNECTICUT,  Per capita personal consumption expenditures (PCE) 8,6.2,6.0,3.7,3.2,4.3,5.7,5.7,4.9,3.8,2.4,-2.5,2.1,2.5,2.3,2.2,3.6,2.6,1.9,3.1,3.7,1.6,-0.9,10.0,7.2,(NA)
CONNECTICUT,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.3,-3.5,0.8,-0.3,0.1,-0.6,0.6,-0.1,-0.3,-2.9,-0.2,1.2,-2.3,3.6,(NA)
CONNECTICUT,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.0,-1.7,3.4,1.6,1.5,0.7,0.7,0.9,1.4,-0.9,1.3,2.3,1.8,10.3,(NA)
CONNECTICUT,  Total employment (number of jobs),1.6,2.3,0.3,-0.4,-0.3,1.5,1.3,1.4,2.0,0.5,-2.7,-1.1,1.6,0.8,1.0,0.9,1.0,0.6,0.0,0.6,-0.7,-3.5,3.3,4.5,(NA)
DELAWARE,  Real GDP (millions of chained 2017 dollars) 1,7.8,4.1,3.7,-3.1,1.0,5.3,-2.0,3.1,-0.4,-3.5,5.2,-1.3,4.1,-0.8,-2.7,7.7,3.0,-5.6,-3.3,1.9,5.3,-2.7,2.6,1.0,-1.2
DELAWARE,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.6,-0.2,6.1,-0.1,1.0,1.7,6.9,1.4,2.8,3.5,2.0,6.1,1.9,1.6,(NA)
DELAWARE,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.2,2.3,3.1,1.2,2.2,1.9,4.1,0.9,2.2,2.5,2.1,-1.5,8.7,1.9,(NA)
DELAWARE,  Gross domestic product (GDP),8.8,7.7,6.5,-1.1,4.3,8.0,0.7,6.8,2.0,-2.6,4.5,0.7,5.6,1.6,-0.5,10.6,5.5,-3.2,-0.7,5.5,7.2,-1.4,6.9,8.7,3.8
DELAWARE,  Personal income,7.3,10.2,10.5,3.4,2.3,3.9,2.5,5.8,3.5,0.7,0.4,1.0,7.5,0.9,1.4,4.3,5.2,2.9,4.7,6.4,3.1,4.9,6.9,8.8,4.8
DELAWARE,  Disposable personal income,7.8,11.2,11.2,5.7,3.1,3.5,0.8,5.8,3.3,0.9,3.4,0.8,6.1,1.1,0.7,4.4,4.7,3.0,4.5,6.8,2.3,5.2,5.1,8.0,7.6
DELAWARE,  Personal consumption expenditures,7.1,6.9,5.5,5.2,6.5,7.0,7.1,5.0,6.3,2.3,-1.2,3.5,4.5,2.2,2.6,4.5,2.4,2.5,4.0,5.4,3.1,-2.6,14.0,9.0,(NA)
DELAWARE,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.4,-1.1,5.1,-1.0,0.0,0.7,5.9,0.5,1.9,2.5,1.0,5.0,0.6,0.3,(NA)
DELAWARE,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.0,1.4,2.1,0.2,1.2,0.9,3.0,0.0,1.3,1.5,1.0,-2.6,7.3,0.5,(NA)
DELAWARE,  Per capita personal income 6,5.7,8.6,9.2,2.0,0.9,2.3,0.7,4.1,2.0,-0.7,-0.5,0.1,6.5,0.0,0.4,3.2,4.1,2.0,3.8,5.3,2.0,3.8,5.5,7.3,3.5
DELAWARE,  Per capita disposable personal income 7,6.2,9.6,9.9,4.4,1.6,1.9,-0.9,4.0,1.8,-0.5,2.5,-0.1,5.1,0.2,-0.3,3.3,3.7,2.1,3.6,5.7,1.3,4.1,3.7,6.4,6.3
DELAWARE,  Per capita personal consumption expenditures (PCE) 8,5.5,5.4,4.3,3.9,5.0,5.3,5.3,3.3,4.8,0.9,-2.1,2.6,3.5,1.2,1.6,3.4,1.4,1.6,3.1,4.3,2.1,-3.6,12.6,7.6,(NA)
DELAWARE,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1.3,-0.6,-1.1,-0.9,-0.9,1.1,-1.8,0.6,0.1,0.7,-0.4,-2.1,0.7,0.5,(NA)
DELAWARE,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1.0,1.2,1.4,1.0,0.4,2.5,-1.6,1.6,1.8,2.8,1.0,-1.1,4.9,7.0,(NA)
DELAWARE,  Total employment (number of jobs),3.1,2.5,-0.1,-0.4,0.7,2.8,2.0,1.6,1.5,0.0,-3.5,-0.6,1.5,0.7,2.0,2.2,2.2,1.7,1.1,2.1,1.0,-1.8,4.8,5.0,(NA)
DISTRICT OF COLUMBIA,  Real GDP (millions of chained 2017 dollars) 1,4.5,0.7,3.7,2.9,2.0,5.5,2.2,0.0,3.2,3.5,-0.5,4.1,1.9,0.8,0.4,2.2,1.8,2.4,1.6,2.8,0.6,-0.8,3.6,0.9,1.0
DISTRICT OF COLUMBIA,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.8,4.6,5.7,3.2,-1.5,4.6,8.5,4.8,4.2,0.7,2.6,2.1,3.3,-8.2,(NA)
DISTRICT OF COLUMBIA,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.1,2.5,1.7,3.9,1.4,2.2,4.5,2.9,4.5,2.3,4.1,-7.8,7.5,1.2,(NA)
DISTRICT OF COLUMBIA,  Gross domestic product (GDP),7.4,3.9,7.1,6.8,5.7,8.9,6.0,3.4,6.4,5.6,1.2,5.7,3.6,2.3,2.1,4.5,4.0,4.2,3.4,5.2,2.8,1.2,6.3,5.7,5.9
DISTRICT OF COLUMBIA,  Personal income,5.2,9.7,3.7,0.5,1.1,8.6,5.3,5.8,7.9,3.1,1.1,7.5,8.2,3.0,1.5,6.7,7.8,4.9,3.8,4.1,1.9,4.7,8.4,-1.1,6.3
DISTRICT OF COLUMBIA,  Disposable personal income,4.4,9.3,4.0,3.4,1.3,8.5,3.9,5.5,6.5,4.0,3.9,8.2,6.7,2.0,0.4,6.7,7.1,5.6,3.8,3.8,1.1,4.9,6.3,-4.1,11.0
DISTRICT OF COLUMBIA,  Personal consumption expenditures,6.5,6.4,3.3,4.3,5.4,7.0,5.6,5.7,4.8,4.0,-1.8,5.4,4.2,3.6,4.5,4.3,3.8,3.1,4.1,5.8,3.5,-5.4,12.8,8.9,(NA)
DISTRICT OF COLUMBIA,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.2,2.4,3.4,1.1,-3.6,3.0,6.7,3.5,3.1,0.0,2.3,4.6,3.6,-8.6,(NA)
DISTRICT OF COLUMBIA,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-4.1,0.4,-0.5,1.7,-0.8,0.7,2.7,1.6,3.4,1.6,3.9,-5.5,7.8,0.7,(NA)
DISTRICT OF COLUMBIA,  Per capita personal income 6,4.2,9.4,3.2,0.7,1.9,8.7,5.4,5.1,7.2,2.1,-1.0,5.3,6.0,0.8,-0.7,5.1,6.0,3.6,2.7,3.4,1.7,7.3,8.6,-1.4,5.0
DISTRICT OF COLUMBIA,  Per capita disposable personal income 7,3.5,8.9,3.5,3.6,2.1,8.6,4.0,4.8,5.9,2.9,1.8,6.0,4.5,-0.1,-1.8,5.1,5.3,4.4,2.7,3.1,0.8,7.5,6.6,-4.4,9.7
DISTRICT OF COLUMBIA,  Per capita personal consumption expenditures (PCE) 8,5.6,6.1,2.9,4.5,6.2,7.2,5.7,5.0,4.1,2.9,-3.8,3.2,2.0,1.4,2.2,2.7,2.1,1.9,3.0,5.1,3.2,-3.0,13.1,8.4,(NA)
DISTRICT OF COLUMBIA,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.6,1.0,-0.1,-2.1,1.7,0.6,-0.8,-0.8,-2.1,1.3,-2.0,1.5,0.7,1.1,(NA)
DISTRICT OF COLUMBIA,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.3,2.8,2.5,-0.3,3.0,2.0,-0.6,0.2,-0.4,3.4,-0.6,2.6,4.9,7.6,(NA)
DISTRICT OF COLUMBIA,  Total employment (number of jobs),1.9,3.3,0.9,2.1,-0.4,1.2,0.8,1.0,1.4,0.8,0.1,1.7,2.2,0.9,1.7,1.5,1.5,2.2,1.1,1.3,0.1,-5.4,0.4,4.0,(NA)
FLORIDA,  Real GDP (millions of chained 2017 dollars) 1,4.8,4.5,3.0,4.4,4.8,6.7,5.9,3.0,1.4,-3.3,-5.8,1.4,-0.3,1.0,2.6,2.9,4.4,3.5,3.7,3.5,2.7,-1.0,9.0,4.6,5.0
FLORIDA,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-4.1,4.8,2.3,1.0,-0.9,5.2,6.1,2.9,6.0,5.0,5.4,4.6,7.3,-2.5,(NA)
FLORIDA,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.6,2.0,1.6,1.7,2.4,4.1,4.6,3.1,3.6,4.3,3.1,-2.2,10.0,3.4,(NA)
FLORIDA,  Gross domestic product (GDP),6.8,7.1,5.9,6.6,6.7,9.6,8.9,6.4,4.3,-1.9,-3.7,1.8,1.1,3.1,4.5,4.9,6.8,5.0,5.2,5.6,5.2,1.1,13.4,11.3,9.8
FLORIDA,  Personal income,4.6,8.2,5.5,3.4,5.1,8.6,8.6,8.3,4.2,0.9,-5.5,6.5,5.4,3.2,0.1,6.8,6.7,3.7,7.7,6.6,6.3,6.6,12.8,4.7,7.0
FLORIDA,  Disposable personal income,4.5,7.8,6.1,5.7,6.6,8.0,6.8,8.2,4.3,1.8,-3.1,6.4,4.1,2.9,-1.1,6.4,5.9,4.9,5.7,8.3,6.1,6.2,11.5,2.6,9.9
FLORIDA,  Personal consumption expenditures,6.3,8.3,5.0,3.5,5.8,8.3,8.5,7.9,4.8,1.5,-3.0,3.7,4.7,3.8,3.4,5.7,5.3,3.9,5.2,5.8,4.0,-0.3,15.6,10.9,(NA)
FLORIDA,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-4.7,3.7,1.2,-0.2,-2.1,3.6,4.3,1.0,4.3,3.7,4.3,3.5,6.1,-4.3,(NA)
FLORIDA,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.2,1.0,0.6,0.5,1.1,2.5,2.8,1.1,1.9,3.0,2.1,-3.3,8.8,1.4,(NA)
FLORIDA,  Per capita personal income 6,2.8,6.2,3.5,1.3,3.1,6.1,6.0,6.4,3.1,0.0,-6.1,5.4,4.3,1.9,-1.1,5.2,4.9,1.7,5.9,5.3,5.2,5.4,11.5,2.7,5.3
FLORIDA,  Per capita disposable personal income 7,2.7,5.9,4.1,3.6,4.6,5.4,4.3,6.3,3.1,0.9,-3.8,5.3,3.1,1.7,-2.3,4.8,4.1,2.9,4.0,7.0,5.0,5.0,10.3,0.7,8.1
FLORIDA,  Per capita personal consumption expenditures (PCE) 8,4.5,6.3,3.0,1.5,3.9,5.8,5.9,6.0,3.7,0.6,-3.6,2.6,3.6,2.6,2.1,4.1,3.4,1.9,3.5,4.5,2.9,-1.4,14.3,8.8,(NA)
FLORIDA,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.2,-0.1,0.5,0.2,-0.3,0.1,0.4,-0.2,-0.2,-0.6,-0.6,0.9,0.8,0.7,(NA)
FLORIDA,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.5,1.7,3.0,2.1,1.0,1.5,0.6,0.8,1.6,1.5,0.8,2.0,5.0,7.2,(NA)
FLORIDA,  Total employment (number of jobs),3.1,3.5,0.6,1.3,2.5,3.9,4.4,3.1,1.4,-2.5,-4.2,-0.4,2.4,2.1,2.8,3.8,3.9,2.8,3.6,3.8,1.6,-0.3,5.8,5.7,(NA)
GEORGIA,  Real GDP (millions of chained 2017 dollars) 1,7.1,3.3,1.2,1.1,2.7,5.0,4.2,1.4,1.0,-2.1,-3.7,1.6,2.0,1.6,2.2,3.5,4.4,4.0,3.9,3.0,3.3,-3.0,6.1,2.6,0.8
GEORGIA,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1.1,-2.1,5.1,-1.2,0.5,4.9,6.3,2.9,3.8,3.4,4.2,5.7,3.9,-4.5,(NA)
GEORGIA,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.3,-1.7,2.9,-0.3,2.8,3.6,4.1,2.8,3.1,3.5,3.0,-2.0,8.3,3.0,(NA)
GEORGIA,  Gross domestic product (GDP),9.0,5.6,3.8,2.9,4.1,7.4,6.6,4.4,3.4,-0.7,-1.5,2.2,3.4,3.7,4.0,5.5,6.5,5.6,5.2,5.0,5.6,-1.4,10.0,9.4,5.0
GEORGIA,  Personal income,6.5,8.2,5.1,2.9,3.8,5.6,5.9,6.6,4.7,1.2,-1.8,2.5,6.8,2.4,1.4,6.5,6.2,4.2,6.0,5.0,5.2,6.9,9.8,1.9,4.6
GEORGIA,  Disposable personal income,6.4,8.0,5.6,5.5,4.9,5.9,4.9,5.8,4.3,1.8,0.7,2.2,5.9,2.5,0.3,6.5,5.7,4.4,5.8,5.8,4.9,7.4,8.2,-0.2,7.3
GEORGIA,  Personal consumption expenditures,8.1,8.2,4.8,3.8,5.5,6.3,7.3,6.0,5.8,1.8,-2.5,3.0,4.5,3.3,3.6,5.2,4.0,4.2,5.3,5.1,4.0,-0.9,14.3,9.8,(NA)
GEORGIA,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.1,-3.0,4.1,-2.2,-0.2,3.9,5.1,1.7,2.7,2.4,3.1,4.9,3.4,-5.6,(NA)
GEORGIA,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.9,-2.6,1.9,-1.3,2.0,2.6,2.9,1.6,2.0,2.5,1.9,-2.8,7.7,1.9,(NA)
GEORGIA,  Per capita personal income 6,4.1,5.8,3.2,1.3,2.4,3.8,4.1,3.9,2.5,-0.5,-3.0,1.5,5.8,1.3,0.6,5.5,5.0,2.9,4.9,4.0,4.1,6.0,9.2,0.7,3.5
GEORGIA,  Per capita disposable personal income 7,4.0,5.6,3.7,3.9,3.5,4.1,3.1,3.2,2.1,0.1,-0.5,1.2,4.9,1.4,-0.4,5.4,4.6,3.2,4.7,4.7,3.8,6.5,7.6,-1.3,6.1
GEORGIA,  Per capita personal consumption expenditures (PCE) 8,5.6,5.8,2.9,2.2,4.1,4.5,5.4,3.4,3.6,0.2,-3.7,2.0,3.5,2.2,2.9,4.2,2.9,2.9,4.2,4.1,2.9,-1.7,13.7,8.5,(NA)
GEORGIA,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.5,2.9,-0.9,1.7,-0.5,0.1,-0.2,0.3,0.4,-0.5,-0.5,0.1,1.3,0.1,(NA)
GEORGIA,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.8,4.7,1.6,3.6,0.8,1.5,-0.1,1.3,2.1,1.5,1.0,1.2,5.6,6.6,(NA)
GEORGIA,  Total employment (number of jobs),2.6,2.8,0.2,-0.3,0.8,2.6,3.5,3.1,2.5,-0.7,-3.7,-0.7,2.2,1.1,2.1,3.2,2.9,2.4,2.6,2.6,1.8,-1.1,4.9,5.0,(NA)
HAWAII,  Real GDP (millions of chained 2017 dollars) 1,1.1,1.9,-0.5,3.2,5.2,5.7,5.2,2.7,2.1,0.5,-3.5,2.7,1.4,2.0,2.3,1.0,3.1,2.2,2.1,1.6,0.1,-10.5,5.7,1.3,2.0
HAWAII,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.9,3.4,1.5,2.8,-3.5,5.3,3.6,4.3,1.8,-0.2,2.0,3.0,3.7,-4.7,(NA)
HAWAII,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.1,3.3,0.7,3.0,-0.6,3.4,2.0,3.0,2.3,1.9,2.1,-6.5,8.3,4.7,(NA)
HAWAII,  Gross domestic product (GDP),3.9,5.4,3.4,5.8,7.7,8.7,8.7,6.4,5.4,2.2,-1.6,3.5,3.1,4.1,4.1,3.3,5.7,3.5,3.7,4.0,2.7,-9.4,10.0,8.6,6.9
HAWAII,  Personal income,3.3,5.9,4.5,5.1,4.8,7.4,7.2,7.0,5.7,5.2,-0.7,2.2,4.5,3.3,1.3,5.2,4.6,3.7,4.1,2.2,4.4,5.4,7.5,0.0,5.1
HAWAII,  Disposable personal income,3.2,5.7,4.7,7.0,5.5,7.3,6.0,6.8,5.6,5.9,1.5,2.5,3.7,3.2,0.2,5.0,3.8,3.6,4.2,2.6,4.0,5.7,5.6,-1.9,7.8
HAWAII,  Personal consumption expenditures,3.7,6.4,3.9,3.6,6.5,7.1,8.5,7.1,4.9,4.4,-0.9,2.2,3.7,3.5,4.3,3.3,3.0,2.5,4.6,4.3,4.4,-4.3,12.2,9.8,(NA)
HAWAII,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.9,2.0,0.1,1.3,-4.7,4.5,2.7,3.5,1.7,-0.4,2.3,3.4,4.0,-4.2,(NA)
HAWAII,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-4.2,2.0,-0.8,1.5,-1.9,2.6,1.1,2.2,2.2,1.8,2.3,-6.1,8.6,5.2,(NA)
HAWAII,  Per capita personal income 6,3.7,5.6,3.4,3.9,3.8,5.5,5.7,5.6,5.2,3.9,-1.8,0.9,3.1,1.8,0.1,4.4,3.7,3.0,4.0,2.1,4.6,5.8,7.8,0.5,5.4
HAWAII,  Per capita disposable personal income 7,3.6,5.4,3.7,5.9,4.5,5.4,4.4,5.4,5.1,4.6,0.4,1.1,2.2,1.7,-1.1,4.2,2.9,2.9,4.1,2.5,4.2,6.1,5.9,-1.4,8.1
HAWAII,  Per capita personal consumption expenditures (PCE) 8,4.2,6.1,2.8,2.5,5.5,5.2,6.9,5.7,4.4,3.1,-2.0,0.8,2.2,2.0,3.0,2.5,2.1,1.7,4.5,4.2,4.6,-3.9,12.5,10.3,(NA)
HAWAII,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2.6,-2.8,0.4,-1.4,3.6,-1.5,0.8,-1.5,0.5,0.3,0.8,1.3,-0.6,-1.5,(NA)
HAWAII,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2.3,-1.1,3.0,0.5,5.0,-0.1,1.0,-0.5,2.3,2.4,2.3,2.4,3.6,4.9,(NA)
HAWAII,  Total employment (number of jobs),0.0,1.5,0.4,0.7,2.1,3.1,2.9,2.7,2.6,-0.7,-3.3,-0.7,1.3,1.7,2.2,1.7,2.1,1.5,0.7,0.3,-1.1,-10.5,5.3,4.9,(NA)
IDAHO,  Real GDP (millions of chained 2017 dollars) 1,9.6,11.1,-2.2,2.4,3.4,7.0,7.6,2.4,1.8,3.3,-4.1,2.2,0.1,-1.1,4.5,3.1,1.5,3.9,3.5,6.5,4.6,1.9,6.2,4.2,3.5
IDAHO,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.9,3.5,2.1,3.8,2.2,3.9,5.2,4.7,2.7,8.1,6.1,11.3,7.0,-0.3,(NA)
IDAHO,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.5,2.9,0.6,2.1,3.5,3.2,1.9,5.9,2.3,7.0,2.0,2.9,12.2,4.7,(NA)
IDAHO,  Gross domestic product (GDP),10.1,11.1,-1.6,3.3,4.6,9.7,9.1,4.7,5.1,4.6,-3.0,2.9,2.4,0.9,6.5,4.5,2.4,4.7,5.4,8.4,6.9,4.3,12.0,12.2,7.1
IDAHO,  Personal income,5.9,8.2,4.3,3.4,3.5,8.0,5.9,10.0,6.5,2.7,-3.3,3.5,5.7,5.0,3.7,5.4,6.0,4.2,6.2,7.1,8.5,10.7,12.2,6.5,5.7
IDAHO,  Disposable personal income,5.4,7.6,4.9,6.2,4.2,8.1,4.1,9.1,6.4,3.7,-0.9,3.5,4.8,4.9,3.0,5.3,5.5,3.9,6.4,7.7,8.1,10.2,11.2,5.2,8.0
IDAHO,  Personal consumption expenditures,7.1,8.1,4.6,4.0,6.3,7.3,8.8,8.7,7.1,2.0,-2.9,2.9,4.2,3.3,5.1,4.7,2.7,5.5,5.8,5.9,4.2,2.4,17.7,11.8,(NA)
IDAHO,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-4.1,2.4,1.1,2.9,1.0,2.5,3.8,2.6,0.5,6.0,3.8,8.8,3.9,-2.1,(NA)
IDAHO,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.8,1.8,-0.4,1.2,2.3,1.8,0.5,3.8,0.1,4.9,-0.3,0.6,9.0,2.9,(NA)
IDAHO,  Per capita personal income 6,4.0,6.3,2.6,1.8,1.8,5.8,3.2,6.9,3.9,0.7,-4.6,2.4,4.7,4.1,2.6,4.0,4.6,2.2,3.9,5.0,6.1,8.2,9.0,4.6,4.3
IDAHO,  Per capita disposable personal income 7,3.5,5.6,3.3,4.6,2.5,5.9,1.5,6.1,3.8,1.7,-2.2,2.4,3.8,4.0,1.9,3.8,4.1,1.8,4.1,5.6,5.7,7.8,8.0,3.4,6.6
IDAHO,  Per capita personal consumption expenditures (PCE) 8,5.1,6.1,2.9,2.4,4.5,5.2,6.0,5.7,4.5,0.1,-4.2,1.8,3.2,2.4,3.9,3.3,1.3,3.4,3.5,3.8,2.0,0.1,14.3,9.8,(NA)
IDAHO,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.1,-1.7,1.0,-0.7,0.2,0.0,0.6,-1.4,1.7,-3.0,0.8,-1.5,0.7,0.2,(NA)
IDAHO,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.4,0.0,3.5,1.2,1.5,1.4,0.8,-0.4,3.4,-1.0,2.2,-0.5,4.9,6.7,(NA)
IDAHO,  Total employment (number of jobs),2.0,4.0,0.8,1.0,1.2,3.0,4.4,4.4,3.3,-0.9,-4.4,-1.3,1.1,0.5,2.2,2.5,2.6,2.9,3.2,3.3,2.1,1.3,5.5,4.7,(NA)
ILLINOIS,  Real GDP (millions of chained 2017 dollars) 1,3.8,3.5,0.2,0.6,1.6,3.2,2.1,2.5,1.3,-1.4,-2.4,2.0,2.2,2.4,0.6,2.0,1.7,0.1,0.8,2.2,0.8,-5.6,5.3,1.3,1.3
ILLINOIS,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-5.5,0.8,2.2,3.6,1.4,3.1,5.0,-0.4,0.6,3.2,2.1,4.2,3.0,-6.4,(NA)
ILLINOIS,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.1,1.4,0.9,1.5,1.7,2.6,3.6,1.2,0.8,2.1,1.6,-4.1,6.2,2.4,(NA)
ILLINOIS,  Gross domestic product (GDP),5.4,5.7,2.8,2.4,3.3,6.0,5.2,5.9,4.0,0.1,-0.6,2.8,4.2,4.9,2.4,4.0,3.9,1.4,2.4,4.6,2.8,-3.9,9.7,8.7,5.6
ILLINOIS,  Personal income,4.4,7.5,3.9,1.2,1.9,3.9,3.9,6.4,5.7,3.0,-4.6,2.9,5.1,4.5,2.0,3.9,4.4,1.2,3.2,5.4,2.6,6.2,8.4,-0.3,4.6
ILLINOIS,  Disposable personal income,4.2,7.5,4.7,3.5,3.1,4.2,2.8,5.6,4.9,3.2,-1.6,2.4,3.2,4.4,1.0,3.8,4.0,1.7,3.7,5.6,2.5,6.9,6.8,-2.3,7.7
ILLINOIS,  Personal consumption expenditures,5.5,7.6,3.4,2.9,4.3,5.2,5.6,5.1,5.0,2.4,-2.2,3.4,3.7,2.3,2.3,3.5,3.0,2.9,3.3,4.2,2.1,-2.2,11.7,9.0,(NA)
ILLINOIS,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-5.9,0.5,1.8,3.3,1.2,3.0,5.1,-0.3,0.8,3.5,2.4,4.7,3.8,-5.6,(NA)
ILLINOIS,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.5,1.0,0.5,1.2,1.5,2.6,3.7,1.4,0.9,2.4,1.9,-3.6,7.0,3.3,(NA)
ILLINOIS,  Per capita personal income 6,3.6,6.8,3.4,0.9,1.6,3.7,3.7,6.1,5.3,2.6,-5.0,2.5,4.7,4.2,1.7,3.9,4.4,1.3,3.3,5.7,2.9,6.7,9.2,0.6,4.9
